uid,comment,agreement_level,amir_1,amir_2,amir_comment,nathan_1,nathan_2,nathan_comment,neil_1,neil_2,neil_comment
7TIIGKCKXL3OZBQ4,succinct and to the point,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
C8J2T6Y8C73LX084,Friendlier,3,---> polite,,,---> polite,,,---> polite,,
DE0PFB2MNWD308Y1,"The user didnt need to start the conversation, so there was less work to be done.",3,---> bot initiate/accountable,---> boosting productivity,,---> bot initiate/accountable,,,---> boosting productivity,---> bot initiate/accountable,
103SURAG9432MEE2,"Same as before, does patch by itself",3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
3NNKDGBWGJAOYAL1,"The programmer must call the bot, giving the programmer more control.",3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
MYP4S8YBN8BWG4B2,"The bot on the left side needs to be manually called upon to make a patch for the commit, which allows the developer to only create patches for certain commits, not every one.",3,---> human initiate/accountable,---> information rich,,---> human initiate/accountable,,,---> human initiate/accountable,,
PCCASPJGG26IQUL3,Its more descriptive and gives clear information on what went wrong and how to fix it,3,---> clear/concise,---> information rich,,---> clear/concise,,,---> clear/concise,---> information rich,
62S9Y38F8OCGTBS3,Easier to understand,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
PL2COHD9Z5EFXMI1,"Bot actions were triggered immediately, without need to wait for programmers trigger",3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
MYP4S8YBN8BWG4B4,"Again, the right side is more simple and effective when trying to communicate what is happening. To me, this allows for ease of use and gets right to the point.",3,---> boosting productivity,---> clear/concise,,---> clear/concise,---> information rich,,---> clear/concise,---> boosting productivity,
G83P0VB75OKOK7L2,I prefer automatic test runs over me having to initiate the bot to run the tests.,3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
38AZCE7ILV890472,"I think it makes more sense for someone to call the bot before it acts, since this will force a real human to check the request.",3,---> human initiate/accountable,,,--> human initiate/accountable,,,---> human initiate/accountable,,
R8NR3DIRCPB17Z02,should be done automatically if set up to do so,3,---> bot initiate/accountable,---> information rich,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
2LY34VMY60J1KXB1,"Again, I like that it kicks off automatically",3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
2LY34VMY60J1KXB3,More polite and conversational,3,---> polite,,,---> polite,,,---> polite,,
M84E1R91PUDLI7D2,"Actions that could potentially add needless clutter to a repo should only be triggered by a human, and not automatically.",3,---> noisy,---> human initiate/accountable,,---> noisy,---> human initiate/accountable,,---> noisy,---> human initiate/accountable,
POKHG7NJWVGB5M23,"This appears friendlier than the left, although would be annoying if you had to see it a lot.",3,---> polite,---> noisy,,---> polite,,,---> polite,---> noisy,
SADNA1H9P4E88B43,"Short, clear description",3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
Z0HVXIVHQV8Q9IW1,"It appears that this bot does not identify the presence of bugs (true/false), but rather the source of the bug in the code. This is not an operation that you would want to occur on every commit, as the developer may have additional context and not require the bots help. If the developer would like the bots help, then it can be easily requested.",3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,---> noisy,
4YPHZV41170X9042,"I would rather the BugFinderBot start the conversation, to reduce the manual labour that I would have to do.",3,---> bot initiate/accountable,---> boosting productivity,,---> bot initiate/accountable,,,---> bot initiate/accountable,---> boosting productivity,
0QPKOTN9NHERUWW2,The left side seems to be more organized with what needs to be done in the request.,3,---> information rich,---> clear/concise,,---> clear/concise,,,---> clear/concise,,
BBZB1AOF8H0JMCR3,"The right conversation is much more clear as to what is going on (and is more polite and optimistic, which matches more closely to the attitude of users on GitHub).",3,---> clear/concise,---> polite,,---> polite,---> clear/concise,,---> polite,---> clear/concise,
