ref_id,user_scenario_combination,user_source,Gender,Age,profession,YrsExperience,ScenarioChoice1_Autonomy,ScenarioChoice2_Autonomy,ScenarioChoice3_Persona,ScenarioChoice4_Persona,bot_example,bot_definition,neil_code,PRActivity,GitHubActivity,BotExperience
UOJCIKUO7ZFG9G8,3-1-4-2,prolific,Female,25-34,DevOps Analyst,1-3 years,Neutral,Neutral,Personable,Personable,,An app that is programmed to carry out automated tasks,Smart,Intermediate,Intermediate,Intermediate
VHFXHFX33KOU7X5,2-3-1-4,prolific,Female,18-24,Student,>5 years,Proactive,Proactive,Personable,Personable,,an autonomous program,Autonomous,Intermediate,Intermediate,Intermediate
38AZCE7ILV89047,2-3-1-4,prolific,Male,25-34,Data Scientist,3-5 years,Reactive,Reactive,Neutral,Personable,,"A bot is a specifically written piece of code where it routinely checks for a specific condition. If that condition is fulfilled, then it will act and perform some function. A bot is a form of automation.",Smart,Intermediate,Experienced,Intermediate
3NNKDGBWGJAOYAL,3-2-4-1,prolific,Female,25-34,Software Developer,<1 year,Reactive,Reactive,Factual,Factual,,"A computer program designed to perform a human-like function, such as chatting.",Chat,Intermediate,Infrequent,Intermediate
0QPKOTN9NHERUWW,2-4-1-3,prolific,Male,25-34,Lead Developer,3-5 years,Proactive,Reactive,Personable,Personable,,A bot is a computer or AI system that fully automates a task,Smart,Expert,Intermediate,Intermediate
XMN5NZT4TB8SMOK,2-4-1-3,prolific,Female,25-34,Document and media preparation,3-5 years,Reactive,Reactive,Personable,Factual,Needs Review,A program that performs an automated task of some type to make work less repetitive for devs.,Smart,Expert,Intermediate,Experienced
377B1RN3M0PA797,1-3-2-4,prolific,Male,18-24,Student,1-3 years,Proactive,Reactive,Personable,Personable,"Dependabot, stale, polls","To me, a bot in the context of Github/Gitlab is some service that provides additional flexibility and functionality within issues and pull requests.",Smart,Expert,Intermediate,Experienced
LUCA8LHBU8UOLSW,1-3-2-4,prolific,Male,25-34,Software Developer,3-5 years,Proactive,Proactive,Personable,Personable,,A bot is an automated process.,Smart,Expert,Intermediate,Intermediate
HYPD1D882CSGJ5W,2-3-1-4,prolific,Female,25-34,research associate,1-3 years,Proactive,Reactive,Personable,Personable,,"Bot I think its short for robot, its any software that automates repetitive tasks and answers some pre-programmed questions. ",Smart,Intermediate,Experienced,Intermediate
NVDNCD4HG98UBPR,2-4-1-3,uvic,Male,25-34,Student,3-5 years,Proactive,Proactive,Factual,Neutral,,"Used to automate a process. For example, run all unit tests after a pull request is created.",Smart,Intermediate,Experienced,Intermediate
