ref_id,user_login_date,user_scenario_combination,user_source,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q14,q15,q16,q17,sc1_answer,sc2_answer,sc3_answer,sc4_answer,survey_completion_date,residence_country,sex
UOJCIKUO7ZFG9G8,2022-02-23T23:29:48.029Z,3-1-4-2,prolific,1,4,2-5-6,3,3,1,1,2,3,2,3,2,3,DevOps Analyst,2,2,2,3,1,2022-02-23T23:51:46.209Z,Canada,Female
VHFXHFX33KOU7X5,2022-02-23T23:30:27.791Z,2-3-1-4,prolific,1,4,2-5-6,3,3,1,1,2,3,2,3,2,2,Student,4,1,3,3,1,2022-02-23T23:42:09.316Z,Canada,Female
38AZCE7ILV89047,2022-02-23T23:35:11.512Z,2-3-1-4,prolific,1,4,2-5-6,3,3,1,1,2,1,2,3,1,3,Data Scientist,3,3,1,2,1,2022-02-23T23:41:52.223Z,Canada,Male
3NNKDGBWGJAOYAL,2022-02-23T23:42:20.983Z,3-2-4-1,prolific,1,4,2-5-6,3,3,1,2,2,6,2,3,2,3,Software Developer,1,3,1,1,3,2022-02-23T23:48:59.338Z,Canada,Female
0QPKOTN9NHERUWW,2022-02-23T23:44:51.956Z,2-4-1-3,prolific,1,4,2-5-6,3,3,1,1,1,4,2,3,1,3,Lead Developer,3,1,1,3,1,2022-02-23T23:52:03.304Z,Canada,Male
XMN5NZT4TB8SMOK,2022-02-23T23:49:44.391Z,2-4-1-3,prolific,1,4,2-5-6,3,3,1,1,1,5,2,3,2,3,Document and media preparation,3,3,1,3,3,2022-02-24T00:10:23.672Z,Canada,Female
377B1RN3M0PA797,2022-02-23T23:53:32.140Z,1-3-2-4,prolific,1,4,2-5-6,3,3,1,1,1,3,2,3,1,2,Student,2,1,1,3,1,2022-02-23T23:59:25.929Z,United States,Male
LUCA8LHBU8UOLSW,2022-02-23T23:55:12.794Z,1-3-2-4,prolific,1,4,2-5-6,3,3,1,1,1,3,2,3,1,3,Software Developer,3,1,3,3,1,2022-02-24T00:00:48.877Z,Canada,Male
HYPD1D882CSGJ5W,2022-02-24T00:03:04.137Z,2-3-1-4,prolific,1,4,2-5-6,3,3,1,2,2,2,2,3,2,3,research associate,2,1,1,3,1,2022-02-24T00:16:14.148Z,Canada,Female
NVDNCD4HG98UBPR,2022-03-10T18:04:08.023Z,2-4-1-3,,1,4,2-5-6,3,3,1,2,2,2,2,3,1,3,Student,3,1,3,1,2,2022-03-10T18:16:37.970Z,,
